ID,SONG,DOT1,DISC1,DOT2,DISC2,DOUBLE,DOT,DISC,SINGLE,ABI
dura dura,Dura,A186,"【开始】副歌中间,181右滑点后,爆左二连点。
【结束】右滑点后,左二连点第一个。(备注)",B736,"【开始】右单点接直条按住,爆左三连点第二个。
【结束】左二连点后,紧接双点。",83,B736,"【开始】右单点接直条按住,爆左三连点第二个。
【结束】左二连点后,紧接双点。",42,1
faded faded,Faded（困难版）,A197,"【开始】""whereareuow""爆""ow""双滑条。
【结束】双长滑条中。",B968,"【开始】""whereareuow""爆""ow""双滑条。
【结束】右长滑条中&左单点。",83,A197,"【开始】""whereareuow""爆""ow""双滑条。
【结束】双长滑条中。",42,1
feiniaoyuwu 飞鸟与雾,飞鸟与雾,A376,"【开始】376右拐条&左单点。
【结束】左点&右滑条。",B1102,"【开始】1090左滑点&右直条后，爆双点。
【结束】左直条中。",80,A376,"【开始】376右拐条&左单点。
【结束】左点&右滑条。",40,1
fengdeyanse 风的颜色,风的颜色,B627,"【开始】左散点后，右单点+左滑条按住3cb爆气
【结束】左单点+右滑点",B722,"【开始】右二散点后，左单点接左滑条按住爆结尾右单点
【结束】右单点",93,B722,"【开始】右二散点后，左单点接左滑条按住爆结尾右单点
【结束】右单点",49,1
fenxianggeisheine 分享给谁呢,分享给谁呢,A278,"【开始】爆双点
【结束】左单点&右滑点。",B588,"【开始】582右滑点后，左二连点接直条，爆第二个点
【结束】三对双点",63,A278,"【开始】爆双点
【结束】左单点&右滑点。",32,1
FIESTA,FIESTA,A182,"【开始】175左直条&右点后，爆双点。
【结束】左滑点。",B588,"【开始】582右滑点后，爆左二连点接直条的第二个点。
【结束】三组双点。",74,A182,"【开始】175左直条&右点后，爆双点。
【结束】左滑点。",37,1
fightforyou fight for you,Fight For You（潘玮柏）,A385,"【开始】""如果未来充满困惑"",右二连点接条,爆滑条
【结束】连续四组二连点。(接近双爆)。",A446,"【开始】连续四组二连点后,爆第一组双点。(备注)
【结束】A段结束,右四连点后,双点。(接近双爆)",77,A391,"【开始】右二连点接滑条后,爆第二个单点:右单点。
【结束】连续两组双点。",40,1
Firefly,Firefly,A98,"【开始】主歌,右直条后,爆第一次双点
【结束】左直条&右滑条尾。",B451,"【开始】B开,爆左长滑点。
【结束】右长滑条头。",64,A98,"【开始】主歌,右直条后,爆第一次双点
【结束】左直条&右滑条尾。",32,1
flowerdance flower dance,Flower Dance（困难版）,B430,"【开始】两次双点后,过两个点,爆右下单点。(极)
【结束】右滑点后,第一组双点。(偷)",B619,"【开始】两次双点后,过短滑点,爆右第三个单点:右上点。
【结束】多个散点后,双点。",83,B619,"【开始】两次双点后,过短滑点,爆右第三个单点:右上点
【结束】多个散点后,双点.",41,1
FOMO,FOMO,A313,"【开始】左右滑条后，左左直条按住3cb爆气
【结束】右滑点",B691,"【开始】右单点后，爆双直条
【结束】左直条+右滑条吃完",70,A313,"【开始】左右滑条后，左左直条按住3cb爆气
【结束】右滑点",35,1
