ID,SONG,DOT1,DISC1,DOT2,DISC2,DOUBLE,DOT,DISC,SINGLE,ABI
lie lie,L.I.E,A76,【开始】爆3轨二连点  【结束】第一个4轨单点。,A213,【开始】爆1轨г    【结束】1轨单点。,91,A76,【开始】爆3轨二连点 【结束】第一个4轨单点。,48,2
linzhongniao 林中鸟,林中鸟（困难版）,B846,【开始】双条后，过3个单点，爆一轨滑键+五轨左滑条  【结束】1&5轨双条结尾,B1664,【开始】双条后，按住二轨长条爆二轨左滑  【结束】歌曲结尾，吃到倒数第二个拐：四轨长条左滑,105.8,B1664,【开始】双条后，按住二轨长条爆二轨左滑  【结束】歌曲结尾，吃到倒数第二个拐：四轨长条左滑,54.7,1
liuzhaonian 六兆年,六兆年と一夜物语,B720,【开始】过五轨条，按住一轨条爆一轨右滑  【结束】三轨长条右滑,B1009,【开始】一轨短条后，爆三轨单点  【结束】三轨单点,89.7,B720,【开始】过五轨条，按住一轨条爆一轨右滑  【结束】三轨长条右滑,47.2,1
lookwhatyoumademedo look what you made me do,Look What You Made Me Do,B227,"【开始】4轨单点后，爆1轨右滑条。
【结束】4轨条尾&2轨单点。（接近双爆）",B298,"【开始】一爆结束后，过两个点，爆2轨单点，
【结束】2轨└条后，第三个单点。（接近双爆）",69,B250,"【开始】爆1轨单点。（备注）
【结束】1&4轨双条尾。",37,2
lovecut love cut,Love Cut,A110,"【开始】 二轨短条后，爆四轨二连点第二个
【结束】四轨段天后第四个点：四轨点",A221,"【开始】 过219起1-2点后，爆四轨二连点第一个
【结束】四轨拐条左滑尾",72.6,A110,"【开始】 二轨短条后，爆四轨二连点第二个
【结束】四轨段天后第四个点：四轨点",37,1
lovegirl love girl,Love Girl,A98,"【开始】二轨条后爆第四个单点（一轨）
【结束】一轨单点",B416,"【开始】412一轨短条按住爆条尾+四轨单点
【结束】二轨左滑键",69.9,A98,"【开始】二轨条后爆第四个单点（一轨）
【结束】一轨单点",37.1,2
lovesosoft love so soft,Love So Soft,A149,"【开始】二轨左滑键后，爆3轨单点。
【结束】1轨直条按住，第二个单点：3轨单点。",B379,"【开始】1轨条按住，爆4轨左滑键。（极）
【结束】2轨条左滑尾。（偷）",66,A149,"【开始】2轨左滑键后，爆3轨单点。
【结束】1轨直条按住，第二个单点：3轨单点。",34,1
luozaishengminglideguang 落在生命里的光,落在生命里的光,A236,"开始:二轨条按住爆条尾+四轨拐条
结束:三轨拐条最后一次拐",B559,"开始:三轨条按住爆条尾+一轨拐条
结束:二轨拐条最后一次拐",74.1,B559,"开始:三轨条按住爆条尾+一轨拐条
结束:二轨拐条最后一次拐",37,1
make-up makeup,ペガサス幻想,B735,【开始】右滑时爆&4轨三连点  【结束】2轨左滑建。,B881,【开始】马上爆4轨拐条           【结束】4轨条按住，1轨条右滑尾。,103,B735,【开始】右滑时爆&4轨三连点【结束】2轨左滑建。,54,1
maxingwo 骂醒我,骂醒我,A471,"【开始】 一轨单点+三轨右滑键后，爆2&4轨双打
【结束】1&3轨双条尾",B942,"【开始】 二轨左滑键+四轨单点后，爆1&3轨双打
【结束】2&4轨双条尾",100.6,A471,"【开始】 一轨单点+三轨右滑键后，爆2&4轨双打
【结束】1&3轨双条尾",50.3,1
meiguihuadezangli 玫瑰花的葬礼,玫瑰花的葬礼,A240,"【开始】 四轨单点后，2&5轨双拐条按住爆双左滑尾
【结束】双拐条后，四轨单点",B954,"【开始】 二轨点后，1&4轨双拐条按住过4cb爆
【结束】1&轨双条尾",113,B954,"【开始】 二轨点后，1&4轨双拐条按住过4cb爆
【结束】1&轨双条尾",59.4,1
meiyouweilai 没有未来,没有未来,A209,"【开始】 五轨条后，爆第三个点：三轨单点
【结束】三轨短条后，二轨点",B494,"【开始】 过三轨点+五轨条后，爆二轨左滑键+四轨点
【结束】四轨单点后，三轨单点",80.2,A209,"【开始】 五轨条后，爆第三个点：三轨单点
【结束】三轨短条后，二轨点",40.4,1
