ID,SONG,DOT1,DISC1,DOT2,DISC2,DOUBLE,DOT,DISC,SINGLE,ABI
duoyoudarao 多有打扰,多有打扰,B353,"【开始】右单点后，爆右滑球
【结束】左白球",B406,"【开始】右单点后，爆左单点
【结束】双长条吃完",62.7,B406,"【开始】右单点后，爆左单点
【结束】双长条吃完",31.7,2
dura dura,Dura,A223,"【开始】高潮第一波，爆右手白球
【结束】左手普通球",B519,"【开始】连续两组二连点后，，过左滑球爆左手普通球
【结束】左手普通球",82,B519,"【开始】连续两组二连点后，，过左滑球爆左手普通球
【结束】左手普通球",42,1
enemy enemy,Enemy,A425,"【开始】420左条后，爆右滑（存）
【结束】左条结束，中场",B847,"【开始】844右左2个滑球后，过右单点，爆左白球
【结束】左条中+右白球",82.8,B847,"【开始】844右左2个滑球后，过右单点，爆左白球
【结束】左单点",44.1,1
faded faded,Faded（困难版）,A333,"【开始】左手白球。（存）
【结束】A段结束，左手普通球。（偷）",B583,"【开始】575左手条后第二个普通球（左）。
【结束】右手二连点后紧接着的左滑球&右手普通球。",77,B608,"【开始】连续四个滑球，爆第四个滑球（左）
【结束】右手普通球",41,1
feiniaoyuwu 飞鸟与雾,飞鸟与雾,A177,"【开始】左长条后，爆双压
【结束】右单点",B929,"【开始】左单点后，爆左长条+右单点
【结束】双压",69.5,B929,"【开始】左单点后，爆左长条+右单点
【结束】双压",35,1
fengdeyanse 风的颜色,风的颜色,B490,"【开始】485左条后，爆右滑球
【结束】左单点（接右三连点）",B559,"【开始】555右三连点后，过左单点，爆右条
【结束】左白球",82,B490,"【开始】485左条后，爆右滑球
【结束】左单点（接右三连点）",41.5,1
fenxianggeisheine 分享给谁呢,分享给谁呢,A164,"【开始】158右条后，过左单点，爆右白球
【结束】右二连点结束",B346,"【开始】340左条后，过右单点，爆左白球
【结束】左二连点结束",59.2,A164,"【开始】158右条后，过左单点，爆右白球
【结束】右二连点结束",29.6,1
fightforyou fight for you,Fight For You（潘玮柏）,A198,"【开始】左手滑球后，爆右单点。
【结束】连续几组二连点，吃完最后一组",A259,"【开始】A段第二次高潮，爆左手三连点。
【结束】吃完第一组双长条。",78,A259,"【开始】A段第二次高潮，爆左手三连点。
【结束】吃完第一组双长条。",40,1
firefly firefly,Firefly,B391,"【开始】连续四个滑球后，爆第二组双打。
【结束】第二组白球&普通球双打（左白右单点）",B529,"【开始】连续六个滑球后，爆左白球&右手普通球。
【结束】连续两组双白球后，右手白球。",78,B529,"【开始】连续六个滑球后，爆左白球&右手普通球。
【结束】连续两组双白球后，右手白球。",41,2
flowerdance flower dance,Flower Dance（困难版）,B291,"【开始】B段第二个滑球后，爆第三个球（左手普通球）
【结束】左手滑球（散点全部吃完）",B409,"【开始】连续两个单条+点后，爆双打（极）
【结束】双打（散点全部吃完）",82,B409,"【开始】连续两个单条+点后，爆双打（极）
【结束】双打（散点全部吃完）",42,1
fomo fomo,FOMO,A210,"【开始】左长条后，右长条按住2cb爆气
【结束】左单点",A297,"【开始】左长条+右单点后，爆右二连点
【结束】左白球",81.3,A297,"【开始】左长条+右单点后，爆右二连点
【结束】左白球",42.4,2
fuzhongyiwanjinzhangda 负重一万斤长大,负重一万斤长大,A327,"【开始】325右滑球后，过左单点，爆右白球
【结束】右条尾+左白球",B809,"【开始】807左滑球后，过右单点，爆左白球
【结束】左条尾+右白球",71.2,A327,"【开始】325右滑球后，过左单点，爆右白球
【结束】右条尾+左白球",35.6,1
gaobai 告白,告白,A239,"【开始】右单后，左条按住2cb爆
【结束】左单点，中场",B353,"【开始】左手条后爆右二连点
【结束】右二连点结束",60.7,B353,"【开始】左手条后爆右二连点
【结束】右二连点结束",31.1,2
gee gee,Gee,A133,"【开始】126起连续四跟单长条，第二根（左）按2cb开爆气
【结束】吃完第八组二连点（右）",A281,"【开始】右手滑球后，爆左手三连点。
【结束】连续单长条后，吃完右手三连点。",61,A133,"【开始】126起连续四根单长条，第二根（左）按2cb开爆气
【结束】吃完第八组二连点（右）",31,1
geiwoyigeliyouwangji 给我一个理由忘记,给我一个理由忘记,A159,"【开始】148连续两根单长条后，过左手滑球爆左手单长条
【结束】左手连续二散点后，第二个左手白球",B266,"【开始】踩B开第一根右手条（264）爆左手滑球
【结束】连续七根单长条，踩最后一根右手条吃到左手单点",72,B266,"【开始】踩B开第一根右手条（264）爆左手滑球
【结束】连续七根单长条，踩最后一根右手条吃到左手单点",39,2
