ID,SONG,DOT1,DISC1,DOT2,DISC2,DOUBLE,DOT,DISC,SINGLE,ABI
rollingstar rolling star,Rolling Star,A234,"【开始】中间①-④绿条，爆第四个：右下④绿条。（存）
【结束】A段结束，右侧③蓝条后2cb。",B498,"【开始】连续三绿条，第三个按住，爆左①②③④连点。
【结束】歌曲最后，左上④蓝条后2cb。",81,B519,"【开始】高潮，右上③绿条按住，爆左上④下滑蓝条。
【结束】歌曲最后，右上③蓝条尾 & 左上④蓝条头。",41,2
rolypoly roly poly,Roly-poly,B242,"【开始】B开不久右1.2点绿后，爆左下3.4连点。
【结束】偏右上11点。",B305,"【开始】右7.8.9三连点后，爆偏左上1点。
【结束】左3.4.5.6.7交叉五连点结束。",63,B305,"【开始】右7.8.9三连点后，爆偏左上1点。
【结束】左3.4.5.6.7交叉五连点结束。",32,2
rookie rookie,Rookie,A50,"【开始】导歌开，右②-④点点蓝尾，爆左上⑤单点。
【结束】右上⑨蓝条尾 & 左上⑩单点。",B249,"【开始】导歌开，左②-④点点蓝尾，爆右下⑤单点。
【结束】左下⑨蓝条尾 & 右下⑩单点。",68,B249,"【开始】导歌开，左②-④点点蓝尾，爆右下⑤单点。
【结束】左下⑨蓝条尾 & 右下⑩单点。",34,1
rottentocore rotten to core,Rotten  to  Core,A128,"【开始】左上5单点后，爆中左上6单点。
【结束】右上1.2连点。",A181,"【开始】中右上3短绿后，爆左上4下滑蓝条。（极）
【结束】中右上8绿条头。（偷）",58,A181,"【开始】中右上3短绿后，爆左上4下滑蓝条。（极）
【结束】中右上8绿条头。（偷）",30,1
ruguochengweini 如果成为你,如果成为你,A116,"【开始】左上4单点后，爆右中上5单点。
【结束】左上2蓝条。",B279,"【开始】右中下4单点后，爆左中下5单点。
【结束】右下2蓝条",54,A116,"【开始】左上4单点后，爆右中上5单点。
【结束】左上2蓝条。",27,1
ruguoyihou 如果以后,如果以后,A107,"【开始】偏左5绿条后，过右下6点，爆左下1点。
【结束】偏左上5点。",B251,"【开始】偏右5绿条后，过左上6点，爆右上1单点。
【结束】偏右下5点。",53,A107,"【开始】偏左5绿条后，过右下6点，爆左下1点。
【结束】偏左上5点。",27,1
ruguozaiai 如果再爱,如果再爱,A179,"【开始】右7绿条后，爆右下↘型1.2.3.4向上四连点(存气)
【结束】右上1.2.3.4四连点。",B234,"【开始】左下5.6点绿后，爆中上偏右1.2.3.4向下四连点。
【结束】右下7.8连点。",40.2,B234,"【开始】左下5.6点绿后，爆中上偏右1.2.3.4向下四连点。
【结束】右下7.8连点。",20,2
run2u run2n,RUN2U,A121,"【开始】左1.2连点后，爆右上""""型3蓝条。（B255同位置同分）
【结束】左下5.6.7三连点。",B182,"【开始】左上1单点后，爆左下2单点。
【结束】左10蓝条结束。",50.9,B182,"【开始】左上1单点后，爆左下2单点。
【结束】左10蓝条结束。",26,1
runisuoshuo 如你所说,如你所说,A162（存）,"【开始】右下456连点。（存）
【结束】10点。",B331（存）,"【开始】左上456连点。
【结束】8点。",50,A102,"【开始】左下456连点。
【结束】8蓝条尾。",25,1
sanguolian 三国恋,三国恋,A95,"【开始】右4单点后，爆中上偏左5单点。（假）
【结束】左上4.5连点。",B300,"【开始】右4单点后，爆中上偏左5单点。（假）
【结束】左上4.5连点。",55.8,B303,"【开始】左“♂”型6长绿按住，爆条中+中下偏左7单点。（难，建议左双指）
【结束】右下7.8连点的7单点。（可爆B300假，-0.3指数）",28.2,1
santaforyou santa for you,Santa For You,A63,"【开始】偏左上10绿条后，爆右下向上1.2.3三连点。
【结束】左上向下2.3连点吃完。",B207,"【开始】200cb后，过偏右上6绿条，爆偏左下1单点。
【结束】中下偏左5.6二连点吃完。",49,A63,"【开始】偏左上10绿条后，爆右下向上1.2.3三连点。
【结束】左上向下2.3连点吃完。",28,2
sanyuexinjian 三月信笺,三月信笺,A127,"【开始】右下1短绿后，爆左下2.3连点。
【结束】左上5蓝条结束。",B274,"【开始】右上1短绿条后，爆左上2.3连点。
【结束】左下5蓝条结束。",47.8,A127,"【开始】右下1短绿后，爆左下2.3连点。
【结束】左上5蓝条结束。",24,1
secretparty secret party,Secret  Party,B421,"【开始】右手7绿条后，爆左下向上1起手连点。
【结束】左上向下连点的6号点。",B491,"【开始】中右下5绿条后，爆左上向下6起手连点，
【结束】左12蓝条尾&右1单点。",70,B421,"【开始】右手7绿条后，爆左下向上1起手连点。
【结束】左上向下连点的6号点。",35,1
shagua 傻瓜,傻瓜,A134,"【开始】左下5点后，爆左上6点。
【结束】左下123连点。",B358,"【开始】左下5绿条后，爆左上6蓝条。
【结束】左中123连点的2点。",60,B358,"【开始】左下5绿条后，爆左上6蓝条。
【结束】左中123连点的2点。",32,2
shanchuwangji 删除忘记,删除忘记,B232,"【开始】左下④单点后，爆左上""""型⑤⑥⑦向右三连点
【结束】左⑨短绿结束+右下①单点",B424,"【开始】左③④⑤三连点后，中间偏右⑥⑦⑧点点蓝，爆 ""→""型⑧蓝条
【结束】右④蓝条结束+左⑤绿条头",72.1,B424,"【开始】左③④⑤三连点后，中间偏右⑥⑦⑧点点蓝，爆 ""→""型⑧蓝条
【结束】右④蓝条结束+左⑤绿条头",37.2,2
shandian 闪电,闪电,B159,"【开始】B开，爆左“【”1.2.3向下三连点。
【结束】左5.6连点的5单点。",B295,"【开始】中下6绿条后。爆左下1单点。
【结束】左6.7点绿的6单点。",46.4,B159,"【开始】B开，爆左“【”1.2.3向下三连点。
【结束】左5.6连点的5单点。",23.4,1
shangxiazuoyou 上下左右,上下左右,A196,"【开始】左下10绿条后，爆中上偏右11蓝条
【结束】左12绿条结束+右13蓝条中。（注意曝气蓝跟紧凑）",B507,"【开始】右上5.6点绿后，爆左下7.8点绿
【结束】左4.5.6.7五连点。",74.7,B507,"【开始】右上5.6点绿后，爆左下7.8点绿
【结束】左4.5.6.7五连点。",38,1
shanjian 删减,删减,A112,"【开始】过下7.8点，爆左上向右1.2.3三连点。
【结束】左上7绿条头。",B298,"【开始】过上7.8点，爆右下向左1.2.3三连点。
【结束】右下9号单点。",52,A112,"【开始】过下7.8点，爆左上向右1.2.3三连点。
【结束】左上7绿条头。",26,1
shenmoshenmo 什么什么,什么什么,A159,"【开始】右下⑧⑨⑩后，爆左上①蓝条。
【结束】左下④蓝条尾 & 中间⑤单点。（双排一样）",B394,"【开始】右下⑧⑨⑩后，爆左上①蓝条。
【结束】左下④蓝条尾 & 中间⑤单点。（双排一样）",80,A159,"【开始】右下⑧⑨⑩后，爆左上①蓝条。
【结束】左下④蓝条尾 & 中间⑤单点。（双排一样）",40,1
shiguanghongliu 时光洪流,时光洪流,A154,"【开始】右下5点。
【结束】右下910连点。",B235,"【开始】右下5点。
【结束】左下12连点。",47,B235,"【开始】右下5点。
【结束】左下12连点。",24,2
shiguangyirujiwang 时光一如既往,时光，一如既往,A130,"【开始】右下1.2点绿后，爆左中下3上滑蓝条。
【结束】左上8.9点绿的绿条头。（双排一样）",B353,"【开始】左上1.2点绿后，爆右中上3下滑蓝条。
【结束】右下8.9点绿的绿条头。（双排一样）",54,A130,"【开始】右下1.2点绿后，爆左中下3上滑蓝条。
【结束】左上8.9点绿的绿条头。（双排一样）",27,2
